Name	Description	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
10873	ENSG00000175697.6	GPR156	0.0629572
18381	ENSG00000200816.1	SNORA38	0.0629334
21203	ENSG00000200656.1	SNORA5B	0.0629334
27267	ENSG00000228714.2	RP11-284G10.1	0.0629334
28552	ENSG00000228462.1	RP11-445N18.3	0.0629334
34063	ENSG00000199566.1	SNORA64	0.0629334
42707	ENSG00000205362.6	MT1A	0.0629334
44675	ENSG00000267035.1	RP11-1094M14.10	0.0629334
51546	ENSG00000235514.1	AP000226.9	0.0629334
53218	ENSG00000273192.1	CITF22-1A6.3	0.0629334
53221	ENSG00000188263.6	IL17REL	0.0629334
43821	ENSG00000132518.6	GUCY2D	0.0628993
9906	ENSG00000163825.3	RTP3	0.0628857
32970	ENSG00000229254.1	OR8C1P	0.0628653
48577	ENSG00000121297.6	TSHZ3	0.062836
6111	ENSG00000055813.5	CCDC85A	0.0627805
25410	ENSG00000253307.1	RP11-10J21.4	0.0627748
35946	ENSG00000229791.1	RP11-385E5.5	0.0627551
45177	ENSG00000264070.1	DND1P1	0.0627551
41462	ENSG00000162068.1	NTN3	0.0627432
44714	ENSG00000006074.4	CCL18	0.0627432
538	ENSG00000268869.1	ESPNP	0.0627353
3155	ENSG00000230779.1	RP1-140J1.4	0.0627297
44593	ENSG00000265222.1	RP11-466A19.8	0.0627297
39745	ENSG00000259585.2	RP11-150L8.4	0.0627222
6683	ENSG00000172073.3	TEX37	0.0626959
28360	ENSG00000229327.1	RP11-135A24.2	0.0626959
39700	ENSG00000259408.1	RP11-3D4.3	0.0626959
47829	ENSG00000263493.1	RN7SL94P	0.0626959
38092	ENSG00000182107.5	TMEM30B	0.0625816
1046	ENSG00000217644.4	RP4-803A2.1	0.0625778
27630	ENSG00000224992.1	RP11-295G24.5	0.0625778
43785	ENSG00000259224.1	SLC35G6	0.0625647
53092	ENSG00000270022.2	RNU12	0.0625542
40683	ENSG00000169758.8	C15orf27	0.0625273
32021	ENSG00000021300.9	PLEKHB1	0.0624937
52083	ENSG00000215268.3	LA16c-60G3.8	0.0624878
50461	ENSG00000125810.9	CD93	0.0624698
3682	ENSG00000250762.1	RP1-313L4.4	0.0624602
16766	ENSG00000269071.1	AC138517.1	0.0624602
18806	ENSG00000178233.13	TMEM151B	0.0624602
19265	ENSG00000219604.1	RP11-132M7.2	0.0624602
21987	ENSG00000236453.1	AC003092.1	0.0624602
24268	ENSG00000199405.1	SNORA1	0.0624602
46315	ENSG00000252258.1	SNORA70	0.0624602
48602	ENSG00000201388.1	SNORA68	0.0624602
53559	ENSG00000264184.1	AC096509.1	0.0624602
1135	ENSG00000163873.5	GRIK3	0.0624416
4608	ENSG00000186205.8	MARC1	0.0623976
35845	ENSG00000255933.1	RP11-495K9.5	0.0623664
18807	ENSG00000146221.8	TCTE1	0.062356
27986	ENSG00000225053.1	PRPF38AP1	0.0623263
41950	ENSG00000155714.9	PDZD9	0.0623196
6823	ENSG00000233158.1	RPS24P6	0.062304
37487	ENSG00000092051.12	JPH4	0.0622949
20925	ENSG00000106069.16	CHN2	0.0622618
10121	ENSG00000239732.2	TLR9	0.0622504
50892	ENSG00000101098.8	RIMS4	0.0622322
29471	ENSG00000231970.1	RP11-452K12.7	0.0622262
40213	ENSG00000225625.3	RP11-31H5.1	0.0622262
14491	ENSG00000129116.13	PALLD	0.0622083
45799	ENSG00000154258.12	ABCA9	0.0621966
875	ENSG00000000938.8	FGR	0.0621725
25163	ENSG00000172164.9	SNTB1	0.0621693
45221	ENSG00000262265.1	RP5-867C24.4	0.0621487
5345	ENSG00000236008.1	AC011747.4	0.0621463
54408	ENSG00000231206.2	HNRNPA1P25	0.0620602
54734	ENSG00000123570.3	RAB9B	0.0620602
2594	ENSG00000207502.1	SNORA42	0.0619941
9767	ENSG00000202517.1	SNORA64	0.0619941
12185	ENSG00000241868.2	RN7SL434P	0.0619941
15686	ENSG00000220986.1	SNORA50	0.0619941
21534	ENSG00000207344.1	SNORA22	0.0619941
26796	ENSG00000186354.6	C9orf47	0.0619941
36114	ENSG00000232162.1	USP12-AS1	0.0619941
36387	ENSG00000253051.1	SNORA31	0.0619941
37287	ENSG00000256553.1	TRAV1-2	0.0619941
39063	ENSG00000227468.4	AL928742.12	0.0619941
45259	ENSG00000141293.11	SKAP1	0.0619697
3948	ENSG00000251520.1	RP11-46A10.6	0.0618786
9426	ENSG00000131379.5	C3orf20	0.061852
42540	ENSG00000260347.1	MOCS1P1	0.0618402
52043	ENSG00000223901.1	AP001469.5	0.0618402
11274	ENSG00000244692.2	RN7SL724P	0.0617636
15315	ENSG00000248234.1	CTD-2108O9.4	0.0617636
37819	ENSG00000165496.3	RPL10L	0.0617636
49575	ENSG00000269959.1	hsa-mir-125a	0.0617551
26315	ENSG00000185775.9	SPATA31A6	0.0617206
39584	ENSG00000259644.1	RP11-680F8.4	0.0617177
23002	ENSG00000050327.10	ARHGEF5	0.061709
13761	ENSG00000188517.10	COL25A1	0.061701
4332	ENSG00000163531.11	NFASC	0.0616872
8847	ENSG00000231189.1	AC013448.1	0.0616872
18940	ENSG00000217527.1	RPS16P5	0.0616872
22780	ENSG00000239254.1	RP11-365F18.3	0.0616754
3794	ENSG00000229785.1	SLC25A38P1	0.0616654
27670	ENSG00000123453.12	SARDH	0.0616376
2975	ENSG00000203811.1	HIST2H3C	0.0616178
45727	ENSG00000108370.11	RGS9	0.0616069
36653	ENSG00000165659.12	DACH1	0.0615919
3835	ENSG00000223828.1	BANF1P4	0.0615348
5284	ENSG00000271868.1	RP11-1293J14.1	0.0615348
12144	ENSG00000252620.1	RNU6ATAC24P	0.0615348
18950	ENSG00000249379.1	RP1-27K12.4	0.0615348
29456	ENSG00000232875.1	HMGN2P35	0.0615348
30671	ENSG00000256006.1	AC084117.3	0.0615348
44361	ENSG00000202389.1	SNORA70	0.0615348
44470	ENSG00000263370.1	RP11-68I3.5	0.0615348
46296	ENSG00000238575.1	snoU109	0.0615348
48869	ENSG00000267291.1	CTB-186G2.1	0.0615348
53620	ENSG00000226436.1	RP1-22N22.1	0.0615348
13848	ENSG00000145349.12	CAMK2D	0.0615091
7472	ENSG00000230646.1	AC010984.3	0.061459
21521	ENSG00000224172.1	RP11-416N13.1	0.061459
27666	ENSG00000196990.4	FAM163B	0.061459
48367	ENSG00000269043.1	CTC-513N18.6	0.061459
28323	ENSG00000228800.1	RP11-253D19.1	0.0614211
48902	ENSG00000272395.1	IFNL4	0.0614211
53960	ENSG00000224659.2	GAGE12J	0.0614211
35781	ENSG00000256597.1	RP11-749H20.4	0.0613833
44817	ENSG00000263818.1	CTD-2206N4.4	0.0613712
17419	ENSG00000074276.6	CDHR2	0.061366
4004	ENSG00000143344.11	RGL1	0.0613644
8425	ENSG00000234842.1	AC007163.8	0.0613531
41248	ENSG00000259660.2	DNM1P47	0.0613437
4	ENSG00000237613.2	FAM138A	0.0613329
1326	ENSG00000233674.2	RP11-184I16.3	0.0613078
4612	ENSG00000257551.1	HLA-AS1	0.0613078
28545	ENSG00000273363.1	RP11-285G1.14	0.0613078
29084	ENSG00000233313.2	HMGA1P5	0.0613078
30200	ENSG00000229414.2	KCNQ1-AS1	0.0613078
35154	ENSG00000257470.1	RP11-397H6.1	0.0613078
40659	ENSG00000259931.2	CTD-2323K18.2	0.0613078
53896	ENSG00000270747.1	RP11-344N17.15	0.0613078
24874	ENSG00000132561.9	MATN2	0.0612904
54158	ENSG00000102349.10	KLF8	0.061284
37157	ENSG00000257884.2	RP11-597A11.4	0.0612755
1523	ENSG00000238140.1	RP11-253A20.1	0.0612626
38226	ENSG00000240210.2	RP11-204K16.1	0.0612325
44474	ENSG00000240531.1	RPL21P123	0.0612325
3876	ENSG00000242193.5	RP11-568K15.1	0.0612141
8233	ENSG00000064989.8	CALCRL	0.0612051
7509	ENSG00000233087.4	AC073869.1	0.0611824
16364	ENSG00000268223.2	ARL14EPL	0.0611573
19759	ENSG00000188580.9	NKAIN2	0.0611423
510	ENSG00000224621.1	RP11-276H7.3	0.0610824
11855	ENSG00000201810.1	U8	0.0610824
29234	ENSG00000236606.1	RP11-93H12.3	0.0610824
33324	ENSG00000251898.1	SCARNA11	0.0610824
33900	ENSG00000257530.1	RP11-843B15.2	0.0610824
36413	ENSG00000252854.1	RN7SKP5	0.0610824
40843	ENSG00000259472.1	RP13-996F3.3	0.0610824
44644	ENSG00000267457.1	RP5-837J1.4	0.0610824
48484	ENSG00000267920.1	SNX6P1	0.0610824
51682	ENSG00000252950.1	RNA5SP490	0.0610824
40175	ENSG00000166415.10	WDR72	0.0610539
23727	ENSG00000173530.5	TNFRSF10D	0.0610478
43125	ENSG00000261404.1	AC009120.4	0.0610478
15505	ENSG00000248854.1	HNRNPH1P3	0.0610325
40194	ENSG00000166450.8	PRTG	0.0609944
20249	ENSG00000234361.1	RP11-52J3.3	0.0609927
8673	ENSG00000144583.4	MARCH4	0.0609423
9488	ENSG00000236570.1	RAD23BP1	0.060933
192	ENSG00000162592.4	CCDC27	0.0609243
20656	ENSG00000197320.4	AC060834.2	0.0609033
28661	ENSG00000128815.13	WDFY4	0.0608789
40495	ENSG00000259426.1	RP11-253M7.1	0.0608789
9688	ENSG00000234073.1	AC011816.1	0.0608586
9781	ENSG00000229072.1	HMGN2P24	0.0608586
39561	ENSG00000254398.1	RP11-578F21.2	0.0608586
41788	ENSG00000258354.1	MIR3180-1	0.0608586
42557	ENSG00000102924.7	CBLN1	0.0608469
56	ENSG00000234711.1	TUBB8P11	0.0607844
2696	ENSG00000227193.2	RP11-439A17.4	0.0607844
31430	ENSG00000234964.3	FABP5P7	0.0607844
45323	ENSG00000248714.2	RP11-1079K10.3	0.0607844
49756	ENSG00000223660.1	AC012314.20	0.0607844
26306	ENSG00000224303.1	RP11-327I22.5	0.0607632
47226	ENSG00000266258.1	RP11-41O4.1	0.0607632
40571	ENSG00000260898.1	ADPGK-AS1	0.0607532
1716	ENSG00000231816.1	RP4-782L23.1	0.0607474
22036	ENSG00000224551.1	HMGB3P21	0.0607474
53372	ENSG00000215319.2	RP11-98L4.1	0.060735
37572	ENSG00000186960.6	C14orf23	0.0607065
14157	ENSG00000178972.3	AC097658.1	0.060666
4652	ENSG00000227002.2	SNRPEP10	0.0606365
6548	ENSG00000168129.7	AC098817.5	0.0606365
8344	ENSG00000202434.1	SNORA4	0.0606365
18941	ENSG00000271367.1	RP3-483K16.4	0.0606365
22738	ENSG00000223657.2	KRT8P51	0.0606365
23248	ENSG00000253620.2	AC144568.4	0.0606365
34118	ENSG00000207313.1	SNORA2B	0.0606365
41151	ENSG00000259340.2	CTD-2027G2.1	0.0606365
41384	ENSG00000260989.1	LA16c-395F10.2	0.0606365
43848	ENSG00000212206.1	SNORA69	0.0606365
46135	ENSG00000262115.1	RP11-455O6.2	0.0606365
52425	ENSG00000211660.3	IGLV2-23	0.0606365
49911	ENSG00000267549.1	AC006116.17	0.0605997
9084	ENSG00000132329.6	RAMP1	0.0605874
43502	ENSG00000187624.7	C17orf97	0.0605813
2574	ENSG00000175984.10	DENND2C	0.0605547
13821	ENSG00000178403.3	NEUROG2	0.0605537
8136	ENSG00000260931.1	RP11-65L3.1	0.0605481
13319	ENSG00000205595.3	AREGB	0.0605261
6066	ENSG00000235937.1	AC008280.1	0.0604893
25250	ENSG00000253513.1	RP11-6D1.3	0.0604893
33583	ENSG00000255670.1	RP11-253I19.3	0.0604893
47960	ENSG00000213293.4	CTD-2666L21.3	0.0604893
30191	ENSG00000238184.1	AC129929.5	0.060436
47143	ENSG00000241088.2	RPL17P44	0.060416
1688	ENSG00000229887.3	HNRNPA1P6	0.0603847
29261	ENSG00000237280.1	RP11-96C23.9	0.0603721
31639	ENSG00000110076.14	NRXN2	0.0603506
24711	ENSG00000254088.1	SLC2A3P4	0.0603429
27190	ENSG00000224067.2	RP11-430K21.2	0.0603429
54892	ENSG00000227881.1	ASS1P5	0.0603429
21374	ENSG00000213067.2	RP11-760D2.10	0.060322
20599	ENSG00000236609.3	ZNF853	0.0603064
49211	ENSG00000177464.4	GPR4	0.0602964
21766	ENSG00000235090.1	RPL7L1P3	0.0602845
23813	ENSG00000168079.12	SCARA5	0.0602817
22009	ENSG00000105852.6	PON3	0.0602408
37705	ENSG00000136352.13	NKX2-1	0.0602408
23715	ENSG00000179388.8	EGR3	0.06021
3468	ENSG00000269620.1	AL590560.1	0.0601971
6493	ENSG00000270462.1	RP11-342K6.3	0.0601971
7248	ENSG00000221055.1	MIR1302-3	0.0601971
11801	ENSG00000231310.2	TBL1XR1-AS1	0.0601971
12608	ENSG00000249234.1	RP11-452J21.2	0.0601971
19513	ENSG00000213167.2	AL591516.4	0.0601971
41899	ENSG00000227624.2	SNRPEP3	0.0601971
54172	ENSG00000231831.1	MTHFD1P1	0.06011
51163	ENSG00000256222.1	MTRNR2L3	0.0600666
22484	ENSG00000081803.11	CADPS2	0.0600458
27085	ENSG00000179055.5	OR13D1	0.060034
5073	ENSG00000226828.1	RP11-278H7.1	0.0600298
36879	ENSG00000226134.1	RP11-120E13.1	0.0600232
32089	ENSG00000149243.11	KLHL35	0.0600108
54939	ENSG00000230392.1	RP5-1139I1.1	0.0600108
2789	ENSG00000272709.1	RP11-458D21.6	0.0599798
9004	ENSG00000263941.1	RN7SL32P	0.0599798
43507	ENSG00000262905.1	RP5-1029F21.2	0.0599798
52199	ENSG00000244296.2	RN7SL168P	0.0599798
19275	ENSG00000135318.7	NT5E	0.0599723
13747	ENSG00000249604.1	RP11-286E11.2	0.0599582
4162	ENSG00000261573.1	RP11-553K8.5	0.0599077
53839	ENSG00000237351.1	CTD-2522E6.4	0.0599077
25432	ENSG00000181790.6	BAI1	0.0598981
25935	ENSG00000231459.1	LINC00032	0.0598872
1644	ENSG00000006555.6	TTC22	0.0598852
41430	ENSG00000260447.1	RP11-304L19.2	0.0598717
7759	ENSG00000213197.3	AC012066.1	0.0598502
22310	ENSG00000243797.2	CTB-111H14.1	0.0598502
3293	ENSG00000225082.2	DAP3P1	0.0597641
5324	ENSG00000225964.1	AC017076.5	0.0597641
5347	ENSG00000225642.1	SNRPEP5	0.0597641
10743	ENSG00000240787.1	RP11-615J4.4	0.0597641
12323	ENSG00000240455.1	RN7SL671P	0.0597641
32044	ENSG00000206913.1	SNORA7	0.0597641
38907	ENSG00000223403.3	MEG9	0.0597641
47094	ENSG00000267677.1	RP11-27G24.1	0.0597641
50545	ENSG00000221319.1	AL441988.1	0.0597641
38636	ENSG00000100599.11	RIN3	0.0597122
37425	ENSG00000229164.5	TRAC	0.0597027
15457	ENSG00000134363.7	FST	0.0596996
44246	ENSG00000236504.2	AC087499.7	0.0596925
14646	ENSG00000213434.2	VTI1BP2	0.0596782
31385	ENSG00000254877.1	RP11-142C4.4	0.0596782
51888	ENSG00000237232.3	ZNF295-AS1	0.0596707
7620	ENSG00000232915.1	AC097721.1	0.0596687
902	ENSG00000214812.3	RP5-1053E7.3	0.0596568
27751	ENSG00000228401.3	RP11-251M1.1	0.0596568
47103	ENSG00000267669.1	RP11-824M15.3	0.0596568
20889	ENSG00000078399.11	HOXA9	0.0596415
19789	ENSG00000220522.2	RP1-177A13.1	0.0596211
19833	ENSG00000218857.1	RP1-209B5.2	0.0595804
25453	ENSG00000247317.3	RP11-273G15.2	0.0595736
10772	ENSG00000163606.6	CD200R1	0.0595651
838	ENSG00000266138.1	RN7SL501P	0.0595498
1498	ENSG00000271782.1	RP5-850O15.4	0.0595498
6192	ENSG00000233702.1	AC107083.1	0.0595498
22941	ENSG00000231840.1	AC073342.12	0.0595498
30776	ENSG00000242527.1	RP11-159H22.1	0.0595498
36115	ENSG00000230641.1	USP12-AS2	0.0595498
41980	ENSG00000259782.2	CTD-2270L9.2	0.0595498
231	ENSG00000171680.16	PLEKHG5	0.0594953
44114	ENSG00000233327.6	USP32P2	0.0594901
18639	ENSG00000225945.1	RP3-441A12.1	0.0594788
32621	ENSG00000196167.5	COLCA1	0.059457
464	ENSG00000204464.3	C1orf195	0.0594433
11416	ENSG00000018408.10	WWTR1	0.0594172
32775	ENSG00000254528.3	RP11-728F11.4	0.0594079
24762	ENSG00000147606.4	SLC26A7	0.0594047
33319	ENSG00000010295.15	IFFO1	0.0593675
6152	ENSG00000201076.1	RNU4-51P	0.0593372
6330	ENSG00000231024.1	AC092431.3	0.0593372
10616	ENSG00000243974.1	VTI1BP1	0.0593372
12269	ENSG00000272885.1	RP11-2H3.6	0.0593372
13426	ENSG00000197826.7	C4orf22	0.0593372
13626	ENSG00000263923.1	RP11-571L19.7	0.0593372
18551	ENSG00000220643.1	RP3-391O22.1	0.0593372
18989	ENSG00000218980.2	FTH1P15	0.0593372
20875	ENSG00000266055.1	AC004079.1	0.0593372
21503	ENSG00000213643.3	VN1R37P	0.0593372
26467	ENSG00000233434.3	BX649567.1	0.0593372
34847	ENSG00000257113.1	RP11-274M17.2	0.0593372
38794	ENSG00000259031.1	CTD-2062F14.3	0.0593372
39409	ENSG00000260232.1	PWRN4	0.0593372
16079	ENSG00000250049.1	RP11-348J24.2	0.0593195
52180	ENSG00000273032.1	DGCR9	0.0592987
30021	ENSG00000171798.13	KNDC1	0.0592555
39618	ENSG00000260693.1	AC026150.8	0.0592525
18832	ENSG00000153291.11	SLC25A27	0.0592314
30731	ENSG00000254768.1	CTD-2140G10.2	0.0592314
37230	ENSG00000259144.2	RANBP20P	0.0592244
12822	ENSG00000205794.4	RP11-333E13.4	0.0592218
41583	ENSG00000261442.1	RP11-709D24.6	0.0592218
5426	ENSG00000196208.9	GREB1	0.05922
18133	ENSG00000261839.1	RP1-265C24.8	0.0592128
16432	ENSG00000113083.8	LOX	0.0592114
4808	ENSG00000229840.2	ISCA1P2	0.0591962
21033	ENSG00000270889.1	RP11-609L3.1	0.0591962
40848	ENSG00000261086.1	RP11-379H8.1	0.0591962
27018	ENSG00000237461.1	RP11-554F20.1	0.0591834
28550	ENSG00000226937.5	CEP164P1	0.0591464
33291	ENSG00000255983.1	RP11-1038A11.1	0.059126
49346	ENSG00000105523.3	FAM83E	0.059126
37561	ENSG00000258548.1	LINC00645	0.0591098
33086	ENSG00000134909.14	ARHGAP32	0.059098
12986	ENSG00000226887.3	ERVMER34-1	0.0590897
31784	ENSG00000254984.1	FTLP6	0.059056
15818	ENSG00000198780.7	FAM169A	0.0590466
9485	ENSG00000182568.12	SATB1	0.0590242
42195	ENSG00000005844.13	ITGAL	0.0590181
31045	ENSG00000134569.5	LRP4	0.0590153
28788	ENSG00000183055.5	FAM133CP	0.059
14113	ENSG00000272717.1	RP11-342I1.2	0.0589861
19975	ENSG00000135540.7	NHSL1	0.0589668
14729	ENSG00000250658.1	RP11-138B4.1	0.0589442
32784	ENSG00000160593.13	AMICA1	0.0589383
861	ENSG00000243659.1	RP11-4K3__A.3	0.0589163
3779	ENSG00000213060.4	RP4-612B18.3	0.0589163
6929	ENSG00000201806.1	RNU4-8P	0.0589163
18113	ENSG00000233224.1	HIST1H2AM	0.0589163
24652	ENSG00000253334.1	RP13-923O23.6	0.0589163
25078	ENSG00000254185.1	RP11-419L20.2	0.0589163
34787	ENSG00000257507.1	RP11-956E11.1	0.0589163
41960	ENSG00000260635.1	RP11-21M24.3	0.0589163
46058	ENSG00000243870.2	RN7SL236P	0.0589163
48257	ENSG00000105650.17	PDE4C	0.0588737
54739	ENSG00000158427.10	TMSB15B	0.0588455
5892	ENSG00000237442.3	HNRNPA1P57	0.0588236
4495	ENSG00000230063.1	RP11-384C4.6	0.0588121
26515	ENSG00000271225.1	RP11-460N11.3	0.0588121
11943	ENSG00000163888.3	CAMK2N2	0.0587972
39	ENSG00000268663.1	WBP1LP6	0.0587774
25253	ENSG00000253167.1	KIAA0196-AS1	0.0587774
8800	ENSG00000114923.12	SLC4A3	0.0587428
25371	ENSG00000254028.1	AC083843.2	0.0587082
30060	ENSG00000226880.1	XX-2136C48.7	0.0587082
34097	ENSG00000258234.1	RP11-370I10.2	0.0587082
4256	ENSG00000143858.7	SYT2	0.0586771
8660	ENSG00000235770.1	LINC00607	0.0586603
36473	ENSG00000181358.3	CTAGE10P	0.0586472
1599	ENSG00000225675.2	RP4-784A16.5	0.0586046
28826	ENSG00000122877.9	EGR2	0.058549
5714	ENSG00000273233.1	RP11-713D19.1	0.0585014
13468	ENSG00000250677.1	RP11-576N17.2	0.0585014
41547	ENSG00000240311.1	LA16c-306E5.1	0.0585014
48677	ENSG00000270624.1	LOC401913	0.0585014
55517	ENSG00000217889.3	KRT18P48	0.0585014
36860	ENSG00000232373.2	MTCYBP3	0.05845
40	ENSG00000185097.2	OR4F16	0.0584426
12283	ENSG00000248416.1	RP11-1191J2.4	0.0583986
4120	ENSG00000162630.5	B3GALT2	0.0583585
33094	ENSG00000151715.3	TMEM45B	0.05835
30187	ENSG00000183734.4	ASCL2	0.0583119
6957	ENSG00000241962.5	C2orf15	0.0582962
17714	ENSG00000239472.2	RN7SL221P	0.0582962
41850	ENSG00000214940.4	NPIPA8	0.0582962
3473	ENSG00000237409.2	RP11-226L15.1	0.0582281
5413	ENSG00000226080.1	RP11-345J13.1	0.0582281
24061	ENSG00000253133.1	RP11-360L9.4	0.0582281
42960	ENSG00000259797.1	RP11-96D1.3	0.0582281
5250	ENSG00000233970.1	AC092159.3	0.0581941
38378	ENSG00000258587.1	RP11-316E14.2	0.0581941
24148	ENSG00000215179.5	MAPK6PS4	0.0581737
52801	ENSG00000133424.16	LARGE	0.058169
42842	ENSG00000261742.1	LINC00922	0.0581504
4395	ENSG00000162894.7	FAIM3	0.0581194
12224	ENSG00000213519.2	AC132008.1	0.0580923
20466	ENSG00000229380.1	AC147651.5	0.0580923
23428	ENSG00000270966.1	RP11-62H7.3	0.0580923
48956	ENSG00000230086.1	VN1R96P	0.0580923
23229	ENSG00000155093.13	PTPRN2	0.0580807
40617	ENSG00000140465.9	CYP1A1	0.0580416
13820	ENSG00000248697.1	TOX4P1	0.0579987
28297	ENSG00000204365.2	C10orf126	0.0579842
42591	ENSG00000140807.4	NKD1	0.0579783
25367	ENSG00000272456.1	CTD-2342N23.3	0.0579765
217	ENSG00000116254.13	CHD5	0.0579572
8272	ENSG00000272979.1	RP11-647K16.1	0.0579572
16136	ENSG00000175426.6	PCSK1	0.0579172
7245	ENSG00000231943.3	RP11-395L14.4	0.0578899
21336	ENSG00000225018.1	RP11-419M24.5	0.0578899
40370	ENSG00000248415.1	GAPDHP61	0.0578611
51091	ENSG00000225785.1	RP4-583K8.1	0.0578228
52459	ENSG00000254709.2	IGLL5	0.0578228
25316	ENSG00000243402.1	RP11-473O4.1	0.0577892
26029	ENSG00000235481.2	RP11-133O22.6	0.0577892
17323	ENSG00000214357.4	NEURL1B	0.0577558
34645	ENSG00000213352.3	GAPDHP44	0.0577462
37258	ENSG00000232070.4	TMEM253	0.0577462
53700	ENSG00000147041.7	SYTL5	0.0577125
51220	ENSG00000124215.12	CDH26	0.0576989
7326	ENSG00000223549.1	MTND5P28	0.0576889
10793	ENSG00000239280.1	RP11-271C24.3	0.0576889
11668	ENSG00000241120.1	HMGN1P8	0.0576889
21375	ENSG00000271047.1	RP11-760D2.12	0.0576889
30094	ENSG00000243562.2	RN7SL838P	0.0576889
54472	ENSG00000228612.2	HK2P1	0.0576678
42902	ENSG00000159714.6	ZDHHC1	0.0576257
35198	ENSG00000012504.9	NR1H4	0.0576222
53066	ENSG00000177096.4	FAM109B	0.0576183
3902	ENSG00000225711.1	RP11-345I18.4	0.0576089
6354	ENSG00000229229.1	AC022201.4	0.0575889
44993	ENSG00000161610.1	HCRT	0.0575889
26150	ENSG00000196092.8	PAX5	0.0575737
10327	ENSG00000241316.2	RP11-81N13.1	0.0575367
55	ENSG00000230368.2	FAM41C	0.0575225
5569	ENSG00000243847.2	RN7SL610P	0.0574893
10871	ENSG00000244308.2	RN7SL762P	0.0574893
19003	ENSG00000272541.1	XXbac-BPGBPG55C20.1	0.0574893
37245	ENSG00000258599.2	RP11-84C10.1	0.0574893
43766	ENSG00000006047.8	YBX2	0.0574434
2548	ENSG00000236887.1	RP11-389O22.5	0.0574231
9242	ENSG00000229241.1	PNPT1P1	0.0574148
10534	ENSG00000178750.2	STX19	0.05739
16183	ENSG00000241597.2	CTD-2007H13.1	0.05739
34890	ENSG00000258090.1	RP11-734E19.1	0.0573702
40525	ENSG00000259470.2	KRT8P9	0.0573306
11279	ENSG00000158258.11	CLSTN2	0.0573233
5226	ENSG00000266949.1	LYPD8	0.0572911
18222	ENSG00000225864.1	HCG4P11	0.0572911
18365	ENSG00000225499.1	RPL15P4	0.0572911
19776	ENSG00000213133.4	PPP1R14BP5	0.0572911
26843	ENSG00000240791.1	RP11-100G15.5	0.0572911
28320	ENSG00000224473.1	RP11-449I17.5	0.0572911
29063	ENSG00000213731.2	RAB5CP1	0.0572911
38309	ENSG00000258813.1	RP11-109N23.4	0.0572911
39758	ENSG00000261635.2	RP11-618N24.1	0.0572911
45087	ENSG00000267166.1	RP11-527L4.5	0.0572911
18854	ENSG00000124818.10	OPN5	0.0572572
48067	ENSG00000266913.1	CTC-548K16.2	0.0572347
50580	ENSG00000131044.12	TTLL9	0.0572287
15896	ENSG00000248909.1	HMGB1P21	0.0571925
38793	ENSG00000183092.11	BEGAIN	0.0571859
38005	ENSG00000165588.12	OTX2	0.0571751
3502	ENSG00000228863.4	RP11-404F10.2	0.0571597
29937	ENSG00000175018.8	TEX36	0.0571597
31566	ENSG00000257002.1	AP000438.2	0.0571597
43463	ENSG00000015413.5	DPEP1	0.0571093
7756	ENSG00000234272.1	RPL30P2	0.0570942
10209	ENSG00000229863.1	RP11-157F20.1	0.0570942
20994	ENSG00000241420.2	RN7SL505P	0.0570942
37664	ENSG00000226677.2	IGBP1P1	0.0570942
46049	ENSG00000267624.1	RP11-219G17.6	0.0570942
51748	ENSG00000231300.1	EZH2P1	0.0570942
9404	ENSG00000224514.1	LINC00620	0.0570662
15493	ENSG00000251307.1	RP11-506H20.1	0.057055
52559	ENSG00000224334.1	AP000357.4	0.0570452
46674	ENSG00000168234.8	TTC39C	0.0570318
44809	ENSG00000263466.1	RP1-56K13.2	0.0570289
39005	ENSG00000156414.14	TDRD9	0.0570214
28427	ENSG00000237970.1	TMEM161BP1	0.0570158
8905	ENSG00000187957.7	DNER	0.0569999
986	ENSG00000228682.2	RP11-439L8.3	0.0569963
13807	ENSG00000249815.1	RP11-269F21.3	0.0569963
16997	ENSG00000157510.9	AFAP1L1	0.0569929
36885	ENSG00000152767.11	FARP1	0.0569747
44592	ENSG00000266718.1	RP11-466A19.1	0.0569445
2700	ENSG00000234998.1	RP11-439A17.10	0.0568987
8872	ENSG00000272622.1	RP11-395N3.2	0.0568987
25664	ENSG00000228166.1	MTND1P11	0.0568987
45821	ENSG00000267170.1	CALM2P1	0.0568987
50944	ENSG00000101470.5	TNNC2	0.0568987
51054	ENSG00000244376.2	RN7SL636P	0.0568987
51447	ENSG00000226580.1	RPL39P40	0.0568987
53543	ENSG00000226774.1	RP11-654E17.2	0.0568987
55692	ENSG00000235175.1	RPL26P37	0.0568987
5239	ENSG00000189292.11	FAM150B	0.0568687
25963	ENSG00000232203.3	SLC25A6P2	0.0568338
28793	ENSG00000165443.7	PHYHIPL	0.05683
50610	ENSG00000215529.8	EFCAB8	0.0568279
24419	ENSG00000147576.11	ADHFE1	0.0568208
24809	ENSG00000244217.1	RPS4XP10	0.0568208
36487	ENSG00000229323.1	RP11-175B12.2	0.0568208
6793	ENSG00000184303.4	DRD5P1	0.0568014
5531	ENSG00000269976.1	RP11-130L8.2	0.056769
29582	ENSG00000107831.8	FGF8	0.056769
33017	ENSG00000254671.1	STT3A-AS1	0.056769
8710	ENSG00000163464.7	CXCR1	0.0567614
